,location,price,bathrooms,car_parks,property_type,furnishing,main_rooms,extra_room,corner,size
11870,Bukit Jalil,1400000,4.0,3.0,Condominium (Corner),fully,3,1,True,1878.0
11871,Cheras,485000,2.0,2.0,Condominium,unfurnished,3,0,False,1018.0
11872,Cheras,399000,2.0,1.0,Apartment (Intermediate),partly,3,0,False,980.0
11873,Sentul,333000,2.0,1.0,Serviced Residence,unfurnished,2,0,False,650.0
11874,Wangsa Maju,530000,2.0,2.0,Serviced Residence (Intermediate),partly,3,0,False,850.0
11875,Wangsa Maju,405000,2.0,1.0,Serviced Residence (Intermediate),partly,3,0,False,770.0
11880,Sentul,332000,2.0,2.0,Serviced Residence,unfurnished,3,0,False,819.0
11882,Setapak,460000,2.0,1.0,Serviced Residence,partly,3,0,False,1081.0
11883,Cheras,650000,2.0,2.0,Condominium,partly,3,0,False,1472.0
11885,Cheras,280000,1.0,1.0,2-sty Terrace/Link House (Intermediate),partly,2,0,False,50.0
11886,Taman Tun Dr Ismail,940000,3.0,1.0,Condominium,unfurnished,3,0,False,1470.0
11888,Kepong,1880000,5.0,6.0,Semi-detached House (Intermediate),partly,6,1,False,75.0
11893,Salak Selatan,420000,2.0,2.0,Serviced Residence,unfurnished,2,0,False,850.0
11896,Dutamas,448000,2.0,1.0,Condominium (Intermediate),unfurnished,3,0,False,1326.0
11898,Setapak,555000,4.0,2.0,Serviced Residence (Corner),partly,3,0,True,1281.0
11899,Jalan Klang Lama (Old Klang Road),680000,4.0,1.0,Condominium,partly,4,0,False,1440.0
11900,Jalan Klang Lama (Old Klang Road),580000,2.0,1.0,Condominium,partly,3,0,False,1215.0
11901,Jalan Klang Lama (Old Klang Road),630000,2.0,2.0,Condominium,partly,3,0,False,1215.0
11902,Damansara Heights,4800000,7.0,4.0,Semi-detached House,fully,6,1,False,4187.0
11903,KL City,1189724,1.0,1.0,Serviced Residence,partly,2,0,False,717.0
11904,KL City,1561622,2.0,1.0,Serviced Residence (Corner),partly,2,0,True,935.0
11905,KL City,1065576,1.0,1.0,Serviced Residence,partly,1,1,False,625.0
11906,Sungai Penchala,5500000,10.0,7.0,Bungalow (Intermediate),unfurnished,7,0,False,11600.0
11908,Sri Hartamas,3200000,5.0,3.0,Condominium,partly,4,1,False,3660.0
11909,Sri Hartamas,6750000,7.0,3.0,Semi-detached House (Triplex),partly,5,1,False,7739.0
11910,Ampang,2000000,4.0,1.0,Condominium (Corner),partly,3,1,True,2454.0
11912,Sri Hartamas,1800000,4.0,2.0,2-sty Terrace/Link House (Intermediate),partly,3,0,False,80.0
11913,City Centre,600000,1.0,1.0,Serviced Residence (Intermediate),unknown,1,1,False,630.0
11914,Bukit Bintang,1488888,2.0,1.0,Condominium (Corner),fully,2,0,True,946.0
11918,Batu Caves,440000,2.0,1.0,Condominium (Intermediate),partly,3,0,False,1405.0
11927,Sunway SPK,1300000,4.0,2.0,Townhouse (Intermediate),partly,3,1,False,2336.0
11928,Jalan Ipoh,590000,2.0,2.0,Condominium (Corner),partly,3,0,True,1037.0
11929,Sunway SPK,1350000,4.0,2.0,Townhouse (Intermediate),partly,3,1,False,2600.0
11931,Mont Kiara,900000,2.0,1.0,Condominium,fully,3,0,False,1280.0
11932,Cheras,599000,2.0,1.0,Condominium (Corner),partly,4,0,True,1500.0
11933,KL City,1100000,2.0,2.0,Serviced Residence (Corner),fully,2,0,True,659.0
11934,KL City,1100000,2.0,2.0,Serviced Residence (Corner),unfurnished,1,1,True,866.0
11939,Taman Desa,430000,1.0,1.0,Condominium,partly,1,0,False,688.0
11940,Bangsar South,836000,2.0,1.0,Serviced Residence,partly,2,0,False,823.0
11941,Bangsar South,728000,1.0,1.0,Serviced Residence,partly,1,0,False,647.0
11942,KL Sentral,1150000,2.0,2.0,Condominium,fully,3,0,False,1436.0
11945,KLCC,1245000,2.0,1.0,Condominium,partly,2,0,False,736.0
11946,Ampang,3000000,6.0,5.0,Bungalow,partly,5,2,False,21635.0
11947,Jalan Klang Lama (Old Klang Road),460000,2.0,2.0,Condominium (Corner),partly,4,1,True,1336.0
11949,Cheras,535000,2.0,2.0,Condominium (Corner),partly,4,0,True,1000.0
11950,Seputeh,560000,1.0,1.0,Condominium,partly,1,0,False,667.0
11951,Seputeh,898000,2.0,2.0,Condominium,partly,3,0,False,1087.0
11952,Seputeh,670000,2.0,1.0,Condominium,partly,2,0,False,829.0
11955,Bangsar,2500000,3.0,2.0,Townhouse (EndLot),partly,3,1,False,3358.0
11956,Kepong,880000,3.0,4.0,2-sty Terrace/Link House (Intermediate),partly,4,0,False,85.0
11957,Kepong,535000,2.0,2.0,2-sty Terrace/Link House (Intermediate),partly,3,0,False,70.0
11959,Cheras,368000,2.0,2.0,Condominium (Intermediate),partly,3,0,False,947.0
11960,Cheras,360000,2.0,2.0,Condominium (EndLot),partly,3,0,False,943.0
11962,KL Eco City,1250000,2.0,1.0,Condominium (Corner),partly,2,0,True,1076.0
11963,KL Eco City,1027000,1.0,1.0,Condominium,fully,1,1,False,790.0
11964,City Centre,2028000,2.0,1.0,Serviced Residence (Intermediate),fully,2,1,False,1560.0
11965,KLCC,1750000,4.0,2.0,Condominium (Corner),fully,3,1,True,2098.0
11966,KLCC,1900000,5.0,2.0,Condominium (Intermediate),partly,4,1,False,2315.0
11967,KLCC,2150000,2.0,1.0,Serviced Residence (Corner),fully,2,0,True,1271.0
11968,KLCC,1580000,2.0,1.0,Condominium (Corner),fully,2,0,True,1766.0
11970,Mont Kiara,3500000,5.0,3.0,Condominium,partly,4,1,False,3632.0
11971,Mont Kiara,3520000,5.0,3.0,Condominium,partly,4,1,False,3704.0
11976,Taman Desa,518000,2.0,1.0,Condominium (Corner),fully,3,0,True,1250.0
11977,Mont Kiara,642000,2.0,1.0,Condominium,partly,3,0,False,1410.0
11979,Mont Kiara,1240000,3.0,2.0,Condominium,fully,3,1,False,1703.0
11980,Mont Kiara,1440000,3.0,2.0,Condominium,unfurnished,3,1,False,1496.0
11982,Mont Kiara,2230000,5.0,3.0,Condominium,unfurnished,4,1,False,3041.0
11983,Mont Kiara,950000,3.0,1.0,Condominium (Corner),fully,4,0,True,1550.0
11984,Mont Kiara,1050000,3.0,1.0,Condominium (Corner),fully,4,0,True,1550.0
11989,Bangsar,5182000,5.0,3.0,Condominium (Corner),partly,3,1,True,3239.0
11990,Bangsar,3760000,5.0,3.0,Condominium (Corner),partly,3,1,True,3239.0
11992,Sungai Besi,760000,2.0,2.0,Serviced Residence,partly,3,0,False,1130.0
11993,Sungai Besi,688000,2.0,2.0,Serviced Residence,partly,2,1,False,1025.0
11994,Sungai Besi,688000,2.0,2.0,Serviced Residence,partly,2,1,False,1025.0
11995,Sungai Besi,778000,2.0,2.0,Serviced Residence,partly,2,1,False,1025.0
11996,Bukit Jalil,2600000,4.0,3.0,Condominium,partly,4,0,False,3260.0
11997,Bukit Jalil,848000,2.0,2.0,Serviced Residence (Intermediate),partly,2,1,False,1025.0
11998,Bukit Jalil,1200000,2.0,2.0,Condominium,partly,3,1,False,1420.0
11999,Bukit Jalil,290000,2.0,1.0,Apartment (Intermediate),partly,2,0,False,726.0
12000,KLCC,2260000,3.0,2.0,Condominium,fully,3,0,False,1518.0
