,location,price,bathrooms,car_parks,property_type,furnishing,main_rooms,extra_room,corner,size
0,KLCC,1250000,3.0,2.0,Serviced Residence,fully,2,1,False,1335.0
2,Dutamas,1030000,4.0,2.0,Condominium (Corner),partly,3,0,True,1875.0
4,Bukit Jalil,900000,3.0,2.0,Condominium (Corner),partly,4,1,True,1513.0
5,Taman Tun Dr Ismail,5350000,5.0,4.0,Bungalow,partly,4,2,False,7200.0
7,Taman Tun Dr Ismail,2600000,4.0,4.0,Semi-detached House,partly,5,0,False,3600.0
8,Taman Tun Dr Ismail,1950000,4.0,3.0,2-sty Terrace/Link House (EndLot),partly,4,1,False,75.0
9,Sri Petaling,385000,2.0,1.0,Apartment (Intermediate),partly,3,0,False,904.0
13,Taman Tun Dr Ismail,4580000,5.0,5.0,Bungalow (Intermediate),partly,6,1,False,6000.0
16,Bukit Tunku (Kenny Hills),9000000,7.0,4.0,Bungalow (Corner),partly,6,1,True,8500.0
18,Mont Kiara,1780000,4.0,2.0,Condominium (Corner),partly,4,1,True,1830.0
19,Mont Kiara,3450000,6.0,3.0,Condominium (Corner),fully,4,1,True,3720.0
20,Desa ParkCity,1500000,4.0,2.0,Condominium (Corner),partly,3,2,True,1798.0
21,Damansara Heights,1550000,1.0,1.0,Serviced Residence (Intermediate),fully,1,0,False,904.0
22,Mont Kiara,1500000,4.0,3.0,Condominium,fully,3,1,False,2163.0
24,Bangsar South,490000,1.0,1.0,Serviced Residence,fully,1,0,False,520.0
26,Bukit Jalil,610000,2.0,2.0,Condominium (Intermediate),partly,3,1,False,1236.0
28,Dutamas,1035880,4.0,1.0,Condominium (EndLot),partly,3,1,False,1876.0
31,Ampang Hilir,3300000,4.0,4.0,Condominium,unfurnished,4,1,False,3536.0
33,Ampang Hilir,460000,1.0,1.0,Serviced Residence,fully,1,0,False,613.0
35,KLCC,2400000,2.0,1.0,Serviced Residence,fully,2,0,False,1006.0
39,Jalan Klang Lama (Old Klang Road),1438000,4.0,3.0,Condominium (Corner),partly,3,2,True,2378.0
40,Mont Kiara,1720000,6.0,3.0,Condominium (Corner),partly,3,2,True,2020.0
42,KLCC,4280000,4.0,2.0,Serviced Residence (Corner),fully,3,1,True,2195.0
43,KLCC,2300000,2.0,1.0,Serviced Residence,partly,1,0,False,1023.0
44,Damansara Heights,4200000,5.0,5.0,Bungalow,partly,6,0,False,5274.0
45,Sungai Besi,900000,5.0,3.0,3-sty Terrace/Link House (Intermediate),fully,6,0,False,80.0
46,KLCC,2700000,4.0,3.0,Serviced Residence (Corner),fully,3,1,True,3095.0
47,Mont Kiara,1080000,2.0,1.0,Serviced Residence,fully,2,0,False,896.0
48,Mont Kiara,1150000,2.0,2.0,Condominium (Corner),partly,3,0,True,1200.0
49,Bukit Jalil,1070000,4.0,4.0,Condominium (EndLot),partly,4,1,False,1772.0
50,Bukit Jalil,930000,3.0,2.0,Condominium (EndLot),partly,4,0,False,1513.0
52,Bangsar South,780000,2.0,1.0,Serviced Residence (Corner),partly,2,0,True,880.0
53,KLCC,4098000,3.0,2.0,Serviced Residence (Intermediate),partly,3,1,False,2066.0
55,KL City,1800000,2.0,1.0,Serviced Residence (Duplex),fully,2,0,False,1244.0
57,Mont Kiara,2300000,5.0,2.0,Condominium (Corner),partly,4,1,True,2702.0
59,KLCC,4000000,3.0,2.0,Condominium (Intermediate),fully,3,1,False,2250.0
60,Ampang Hilir,4800000,6.0,3.0,Condominium,partly,5,0,False,4300.0
61,Ampang Hilir,3780000,5.0,4.0,Condominium (Corner),partly,4,1,True,3628.0
63,Bangsar South,850000,2.0,1.0,Serviced Residence,fully,2,1,False,1050.0
65,KLCC,1698800,2.0,1.0,Serviced Residence (Intermediate),fully,2,0,False,1227.0
66,Sungai Besi,999000,4.0,2.0,3-sty Terrace/Link House (Intermediate),partly,4,1,False,2512.0
67,KL Sentral,3500000,1.0,1.0,Serviced Residence,partly,1,0,False,1648.0
68,KLCC,1500000,2.0,1.0,Serviced Residence (Corner),fully,2,0,True,1022.0
69,KLCC,2300000,2.0,1.0,Serviced Residence (Intermediate),partly,1,0,False,1023.0
70,Mont Kiara,1830000,4.0,2.0,Condominium (Corner),partly,3,1,True,1830.0
71,Taman Melawati,750000,3.0,3.0,2-sty Terrace/Link House,partly,4,0,False,75.0
72,Setapak,580000,2.0,2.0,Condominium (Corner),partly,4,1,True,1550.0
73,KLCC,3000000,3.0,3.0,Serviced Residence,unfurnished,3,1,False,2066.0
74,Mont Kiara,2180000,4.0,3.0,Condominium (Corner),partly,4,1,True,3000.0
76,KLCC,2030000,5.0,2.0,Condominium,fully,3,1,False,2356.0
77,Mont Kiara,3450000,6.0,3.0,Condominium,fully,4,1,False,3720.0
79,City Centre,4080000,5.0,2.0,Condominium (Corner),partly,4,1,True,3713.0
80,Taman Tun Dr Ismail,2880000,3.0,4.0,2-sty Terrace/Link House (Corner),partly,4,1,True,4244.0
81,KLCC,1799000,1.0,1.0,Serviced Residence,fully,1,0,False,720.0
83,KLCC,1820000,2.0,2.0,Condominium (Corner),fully,2,1,True,1159.0
84,KLCC,1000000,3.0,2.0,Serviced Residence (Corner),partly,3,1,True,1313.0
85,KLCC,1650000,5.0,2.0,Condominium (Corner),fully,3,1,True,1905.0
87,KLCC,2300000,1.0,2.0,Serviced Residence,partly,1,0,False,1023.0
88,Mont Kiara,2400000,5.0,3.0,Condominium,partly,4,1,False,2702.0
89,KLCC,2055000,1.0,1.0,Serviced Residence (Intermediate),partly,1,1,False,797.0
90,KLCC,1714000,1.0,1.0,Serviced Residence (Intermediate),partly,1,0,False,700.0
93,KLCC,2300000,4.0,3.0,Serviced Residence (Corner),partly,3,1,True,3282.0
94,Bukit Jalil,920000,3.0,2.0,Condominium,partly,4,1,False,1513.0
95,KLCC,2300000,1.0,2.0,Serviced Residence (Intermediate),partly,1,0,False,1046.0
96,Taman Tun Dr Ismail,4995000,7.0,6.0,Bungalow,partly,5,1,False,8113.0
97,Taman Tun Dr Ismail,1630000,3.0,2.0,2-sty Terrace/Link House (Intermediate),partly,4,0,False,80.0
98,Mont Kiara,1850000,4.0,2.0,Condominium,partly,4,1,False,1830.0
100,KLCC,1783000,2.0,1.0,Condominium,partly,2,0,False,976.0
101,Dutamas,1180000,4.0,1.0,Condominium (Intermediate),partly,3,1,False,1942.0
103,Bukit Jalil,900000,3.0,2.0,Condominium (Corner),partly,4,1,True,1513.0
104,City Centre,1700000,2.0,1.0,Serviced Residence (Intermediate),fully,2,1,False,1442.0
108,Mont Kiara,3100000,6.0,3.0,Condominium (Corner),fully,4,1,True,3400.0
109,Bukit Jalil,630000,2.0,2.0,Serviced Residence,partly,2,0,False,791.0
111,Kepong,2040000,5.0,4.0,2.5-sty Terrace/Link House (Intermediate),partly,5,1,False,75.0
112,KLCC,1780000,1.0,1.0,Serviced Residence (Corner),fully,1,0,True,728.0
114,Desa ParkCity,1050000,2.0,2.0,Condominium,partly,2,1,False,1389.0
115,Mont Kiara,2600000,4.0,3.0,Condominium,partly,4,1,False,3041.0
116,Bangsar South,630000,1.0,1.0,Serviced Residence,partly,1,1,False,663.0
117,KLCC,3364000,2.0,2.0,Serviced Residence,fully,2,1,False,1399.0
118,Bukit Jalil,978000,3.0,2.0,Condominium,partly,4,1,False,1513.0
119,KLCC,3600000,5.0,2.0,Serviced Residence (Corner),partly,3,1,True,3897.0
120,KLCC,3600000,5.0,2.0,Serviced Residence (Corner),partly,3,1,True,3897.0
121,KLCC,2000000,1.0,1.0,Serviced Residence,fully,1,0,False,1087.0
122,Mont Kiara,1630000,4.0,2.0,Condominium,partly,4,1,False,2065.0
124,Taman Tun Dr Ismail,1280000,3.0,3.0,2-sty Terrace/Link House (Intermediate),partly,4,0,False,75.0
125,KLCC,1250000,2.0,1.0,Condominium,partly,2,0,False,736.0
127,Bangsar South,630000,1.0,1.0,Serviced Residence,fully,1,1,False,650.0
128,KLCC,1350000,2.0,1.0,Serviced Residence,fully,2,0,False,1050.0
129,Bangsar South,490000,1.0,1.0,Serviced Residence (Intermediate),fully,1,0,False,500.0
131,Bangsar South,800000,2.0,1.0,Serviced Residence (Corner),partly,2,0,True,825.0
133,Dutamas,1035000,5.0,2.0,Condominium,unknown,3,1,False,1853.0
135,KLCC,1000000,1.0,1.0,Condominium (EndLot),fully,1,0,False,657.0
136,Sungai Besi,448800,3.0,1.0,Serviced Residence (Intermediate),unfurnished,3,0,False,1045.0
138,Mont Kiara,2480000,5.0,3.0,Condominium (Corner),partly,4,1,True,3041.0
139,KL Sentral,2716000,4.0,2.0,Serviced Residence (Corner),partly,3,1,True,2227.0
141,Country Heights Damansara,9500000,7.0,6.0,Bungalow (Corner),partly,6,1,True,10000.0
142,KLCC,8343600,3.0,2.0,Condominium (Intermediate),unfurnished,3,0,False,2454.0
143,Taman Desa,500000,2.0,1.0,Serviced Residence (Corner),partly,2,0,True,715.0
144,Damansara Heights,13800000,7.0,3.0,Bungalow (Corner),partly,5,1,True,7500.0
146,Desa ParkCity,2300000,3.0,2.0,2-sty Terrace/Link House (Intermediate),partly,4,0,False,83.0
149,Mont Kiara,2480000,5.0,3.0,Condominium,unfurnished,4,1,False,3041.0
150,KLCC,3500000,3.0,1.0,Serviced Residence,fully,3,0,False,1560.0
151,Mont Kiara,2200000,4.0,2.0,Condominium,unfurnished,4,0,False,2243.0
152,Taman Tun Dr Ismail,1380000,3.0,2.0,2-sty Terrace/Link House,fully,4,0,False,75.0
153,KLCC,3600000,4.0,2.0,Serviced Residence (Corner),fully,3,1,True,3897.0
155,Bukit Jalil,1060000,4.0,4.0,Condominium (Corner),partly,4,1,True,1772.0
156,Bukit Jalil,900000,3.0,3.0,Condominium (Corner),partly,4,1,True,1513.0
157,KLCC,1850000,1.0,1.0,Condominium (Corner),partly,3,0,True,2174.0
158,Sentul,668000,3.0,3.0,Condominium (Corner),fully,3,1,True,1345.0
159,KLCC,1050000,3.0,2.0,Serviced Residence (Intermediate),fully,2,2,False,1313.0
160,Jalan Klang Lama (Old Klang Road),509000,2.0,1.0,Serviced Residence,unfurnished,2,0,False,797.0
163,KLCC,2998000,3.0,2.0,Condominium (Intermediate),partly,3,1,False,3218.0
164,KLCC,2580000,3.0,2.0,Condominium (Intermediate),partly,3,1,False,2809.0
171,KLCC,1100000,2.0,1.0,Serviced Residence (Corner),fully,2,0,True,880.0
172,KLCC,3600000,3.0,2.0,Serviced Residence (Penthouse),partly,4,1,False,3897.0
173,KLCC,2900000,4.0,3.0,Condominium,fully,3,1,False,2809.0
174,Sentul,670000,2.0,2.0,Condominium,partly,3,0,False,1085.0
178,Desa ParkCity,1350000,2.0,2.0,Condominium (Intermediate),partly,2,0,False,1292.0
179,KLCC,2300000,2.0,1.0,Serviced Residence,partly,1,0,False,1023.0
180,KLCC,1900000,2.0,1.0,Condominium,partly,2,0,False,915.0
181,KLCC,1450000,2.0,2.0,Serviced Residence (Corner),fully,2,0,True,1090.0
183,KLCC,1300000,1.0,1.0,Serviced Residence,partly,1,0,False,925.0
184,KLCC,3600000,4.0,2.0,Serviced Residence (Corner),partly,3,0,True,3897.0
185,Taman Tun Dr Ismail,1630000,3.0,2.0,2-sty Terrace/Link House (Intermediate),partly,4,0,False,80.0
186,Damansara Heights,2100000,3.0,3.0,2-sty Terrace/Link House (Intermediate),unfurnished,4,0,False,80.0
187,Taman Tun Dr Ismail,5350000,5.0,3.0,Bungalow,partly,6,0,False,7200.0
188,Bukit Jalil,1050000,4.0,4.0,Condominium,partly,4,1,False,1772.0
189,Bukit Jalil,1200000,4.0,4.0,Condominium,partly,5,1,False,1930.0
190,Bukit Jalil,900000,3.0,2.0,Condominium,partly,4,1,False,1513.0
191,Damansara Heights,2251800,4.0,2.0,Serviced Residence,partly,2,1,False,1668.0
192,Bukit Jalil,998000,5.0,4.0,3-sty Terrace/Link House (EndLot),partly,5,1,False,1650.0
193,Mont Kiara,1550000,4.0,2.0,Condominium,partly,3,1,False,1496.0
194,Setapak,780000,3.0,2.0,Condominium (Corner),partly,3,0,True,1368.0
195,Desa ParkCity,1380000,2.0,2.0,Condominium (Intermediate),partly,2,0,False,1292.0
196,Desa ParkCity,1798000,3.0,2.0,3-sty Terrace/Link House (Intermediate),partly,3,1,False,2200.0
197,KLCC,1300000,1.0,1.0,Serviced Residence,unfurnished,1,0,False,925.0
198,KLCC,1268000,3.0,1.0,Condominium (Corner),fully,3,0,True,1619.0
199,KLCC,2600000,4.0,3.0,Condominium,fully,3,1,False,2809.0
200,KLCC,4200000,4.0,2.0,Serviced Residence (Corner),partly,3,1,True,2195.0
201,KLCC,3330000,3.0,1.0,Serviced Residence (Corner),fully,2,1,True,2789.0
202,KLCC,2600000,2.0,1.0,Serviced Residence (Intermediate),fully,2,0,False,1184.0
203,KLCC,1950000,2.0,1.0,Serviced Residence (Intermediate),partly,1,1,False,1076.0
204,Taman Tun Dr Ismail,1050000,2.0,2.0,1-sty Terrace/Link House (Intermediate),unfurnished,3,0,False,80.0
205,Sentul,900000,4.0,3.0,Condominium,unfurnished,3,1,False,1381.0
206,Kepong,638000,2.0,4.0,1.5-sty Terrace/Link House (EndLot),partly,3,1,False,70.0
207,KLCC,1400000,2.0,1.0,Serviced Residence (Corner),fully,2,0,True,1050.0
208,Kepong,850000,3.0,2.0,2-sty Terrace/Link House (Intermediate),partly,4,0,False,80.0
209,Damansara Heights,6500000,5.0,4.0,Bungalow,partly,6,0,False,7200.0
210,Mont Kiara,1800000,4.0,2.0,Condominium,partly,4,0,False,1830.0
211,Bangsar,3800000,5.0,4.0,Bungalow (Corner),partly,4,1,True,4067.0
212,Bangsar South,350000,1.0,1.0,Apartment,unfurnished,1,0,False,495.0
213,KLCC,3600000,5.0,2.0,Serviced Residence (Penthouse),unknown,3,2,False,3897.0
215,Segambut,635000,4.0,2.0,Condominium (Corner),partly,3,1,True,1643.0
217,KLCC,5070000,4.0,3.0,Serviced Residence (Corner),partly,3,1,True,2142.0
218,KL City,1207000,1.0,1.0,Serviced Residence (Intermediate),partly,1,0,False,685.0
219,KL City,1177000,1.0,1.0,Serviced Residence (Intermediate),partly,2,0,False,717.0
222,Wangsa Maju,700000,2.0,2.0,Condominium,partly,3,0,False,1152.0
225,Mont Kiara,3785400,5.0,3.0,Condominium (Duplex),partly,5,1,False,3907.0
226,KLCC,1300000,2.0,2.0,Condominium,fully,2,0,False,871.0
227,Sentul,960000,4.0,2.0,Condominium (Corner),unfurnished,3,1,True,1488.0
228,KL City,490000,2.0,2.0,Condominium,unfurnished,4,0,False,1065.0
229,Mont Kiara,4200000,5.0,3.0,Condominium (Corner),partly,5,1,True,3709.0
230,KLCC,1450000,1.0,1.0,Serviced Residence (EndLot),fully,2,0,False,1050.0
231,Desa ParkCity,2380000,4.0,3.0,Condominium (Corner),fully,4,1,True,2454.0
232,Desa ParkCity,1350000,3.0,2.0,Condominium (Corner),unfurnished,2,2,True,1389.0
234,Bukit Jalil,1210000,6.0,4.0,3-sty Terrace/Link House (Intermediate),partly,5,1,False,3400.0
235,Taman Tun Dr Ismail,4995000,7.0,6.0,Bungalow (Intermediate),partly,5,1,False,8113.0
236,Mont Kiara,1900000,4.0,2.0,Condominium (Corner),partly,4,1,True,1830.0
237,KLCC,2700000,2.0,2.0,Serviced Residence,partly,2,0,False,1195.0
238,KLCC,6300000,4.0,2.0,Serviced Residence (Corner),partly,3,1,True,2195.0
240,KLCC,1900000,2.0,1.0,Condominium,fully,2,1,False,915.0
241,KLCC,3000000,5.0,3.0,Condominium,partly,4,1,False,3218.0
242,Setapak,240000,2.0,1.0,Condominium,unfurnished,3,0,False,850.0
244,KLCC,1000000,1.0,1.0,Condominium (EndLot),partly,1,0,False,751.0
245,KLCC,1000000,1.0,1.0,Condominium (EndLot),partly,1,0,False,751.0
246,KLCC,2000000,2.0,1.0,Serviced Residence (Corner),fully,2,1,True,1350.0
247,KLCC,6380000,4.0,2.0,Serviced Residence (Corner),partly,3,1,True,2195.0
249,Batu Caves,676775,3.0,4.0,Serviced Residence (Intermediate),partly,3,1,False,1265.0
251,Mont Kiara,1830000,4.0,2.0,Condominium (Corner),partly,4,1,True,1830.0
252,City Centre,1750000,3.0,1.0,Serviced Residence,partly,2,1,False,1442.0
253,Desa ParkCity,1780000,3.0,2.0,2-sty Terrace/Link House (Intermediate),fully,3,1,False,2400.0
255,Bukit Jalil,1200000,4.0,4.0,Condominium (Corner),partly,5,1,True,1930.0
256,KLCC,2300000,2.0,1.0,Serviced Residence,partly,1,0,False,1046.0
257,KLCC,2300000,1.0,2.0,Serviced Residence (Intermediate),partly,1,0,False,1046.0
258,Mont Kiara,1600000,3.0,2.0,Condominium,partly,3,1,False,1878.0
259,Mont Kiara,1291000,4.0,3.0,Condominium,partly,5,1,False,2069.0
260,KLCC,880000,1.0,1.0,Serviced Residence,fully,1,0,False,710.0
261,Jalan Klang Lama (Old Klang Road),655000,2.0,2.0,Serviced Residence (Corner),partly,3,1,True,1094.0
262,Mont Kiara,2150000,5.0,3.0,Condominium,unfurnished,3,1,False,2700.0
263,Mont Kiara,1400000,4.0,2.0,Condominium,partly,3,1,False,1496.0
264,KLCC,7975250,6.0,2.0,Serviced Residence (Penthouse),fully,4,1,False,2975.0
265,Mont Kiara,1100000,2.0,2.0,Condominium,partly,3,0,False,1200.0
266,KLCC,1238000,2.0,1.0,Condominium,partly,2,0,False,736.0
267,Bangsar South,750000,2.0,1.0,Serviced Residence (Intermediate),partly,2,0,False,823.0
268,Damansara Heights,2100000,4.0,2.0,Condominium (Corner),partly,3,1,True,2153.0
270,Mont Kiara,1500000,2.0,2.0,Condominium,fully,3,0,False,1200.0
271,Mont Kiara,2300000,6.0,3.0,Condominium (Corner),partly,4,1,True,2702.0
273,KLCC,990000,3.0,2.0,Serviced Residence (Corner),fully,2,2,True,1313.0
274,KLCC,3960000,4.0,2.0,Serviced Residence (Corner),partly,3,1,True,2195.0
275,KLCC,2700000,2.0,2.0,Serviced Residence (Corner),fully,2,0,True,1184.0
276,KLCC,1900000,2.0,1.0,Serviced Residence (Intermediate),fully,1,1,False,1087.0
277,Desa ParkCity,5460000,9.0,6.0,3.5-sty Terrace/Link House (Intermediate),partly,7,1,False,7000.0
278,KLCC,2050000,5.0,2.0,Condominium,fully,3,1,False,2356.0
279,Bangsar South,1121800,2.0,1.0,Serviced Residence,fully,2,1,False,1200.0
280,KLCC,1506300,1.0,1.0,Serviced Residence (Intermediate),fully,2,0,False,1020.0
281,Bangsar,1530000,3.0,2.0,Condominium (Corner),fully,3,1,True,2095.0
282,Ampang,3680000,8.0,4.0,Bungalow (Corner),unfurnished,7,0,True,6300.0
283,KLCC,3600000,5.0,2.0,Serviced Residence (Corner),partly,3,1,True,3897.0
285,Sri Hartamas,14800000,6.0,4.0,Bungalow,fully,4,2,False,8611.0
286,Desa ParkCity,1480000,4.0,2.0,Condominium (Corner),partly,3,2,True,1917.0
287,Bangsar South,1050000,2.0,2.0,Condominium (Intermediate),fully,3,0,False,1485.0
289,Klcc,1200019,2.0,1.0,Condominium (Corner),partly,2,0,True,577.0
291,Bukit Kiara,4988888,6.0,3.0,4-sty Terrace/Link House,partly,4,1,False,85.0
292,KLCC,1999000,2.0,1.0,Serviced Residence (Intermediate),unfurnished,2,0,False,1271.0
293,Mont Kiara,1820000,4.0,2.0,Condominium (Corner),partly,4,1,True,1830.0
294,Ampang Hilir,3700000,5.0,2.0,Condominium (Corner),unfurnished,4,1,True,3628.0
295,Mont Kiara,1420000,4.0,2.0,Condominium,partly,3,1,False,1499.0
296,Mont Kiara,1830000,4.0,2.0,Condominium,partly,4,1,False,1832.0
297,Bukit Kiara,4988888,6.0,3.0,4-sty Terrace/Link House (Intermediate),partly,5,1,False,85.0
298,KLCC,1680000,2.0,3.0,Condominium,fully,3,1,False,1159.0
299,KLCC,2210000,3.0,2.0,Condominium,fully,3,0,False,1502.0
300,KLCC,1420000,2.0,1.0,Condominium (Intermediate),fully,2,0,False,976.0
301,KLCC,3600000,5.0,2.0,Serviced Residence (Corner),partly,4,1,True,3897.0
302,KLCC,1238000,2.0,1.0,Condominium,partly,2,0,False,736.0
305,KLCC,1139000,1.0,1.0,Condominium,partly,1,0,False,751.0
306,KLCC,2930000,2.0,2.0,Serviced Residence (Corner),fully,2,0,True,1114.0
308,Damansara Heights,1620000,2.0,1.0,Serviced Residence,partly,1,1,False,1194.0
309,Desa ParkCity,1300000,3.0,2.0,Condominium (Intermediate),partly,2,1,False,1367.0
310,Country Heights Damansara,8000000,7.0,6.0,Bungalow (Corner),partly,7,0,True,10600.0
311,Damansara Heights,6500000,4.0,6.0,Bungalow (Corner),partly,5,1,True,7880.0
315,Bangsar,1600000,2.0,2.0,Townhouse,partly,3,0,False,2400.0
316,Desa ParkCity,1730000,3.0,2.0,Condominium (Corner),fully,3,1,True,1690.0
317,Desa ParkCity,1500000,2.0,2.0,Condominium (Intermediate),fully,3,1,False,1346.0
320,Desa ParkCity,1500000,3.0,2.0,Condominium (Intermediate),partly,3,1,False,1400.0
322,Desa ParkCity,1180000,3.0,2.0,Condominium,partly,2,1,False,1507.0
326,KLCC,2950000,4.0,2.0,Condominium (Corner),partly,3,1,True,2674.0
327,Bangsar South,490000,1.0,1.0,Serviced Residence,fully,1,0,False,520.0
328,KLCC,3090000,2.0,2.0,Serviced Residence,partly,2,0,False,1572.0
330,KLCC,1230000,4.0,2.0,Serviced Residence (Corner),fully,3,1,True,1378.0
331,Jalan Klang Lama (Old Klang Road),350000,2.0,1.0,Serviced Residence,partly,3,0,False,950.0
332,KLCC,1230000,1.0,1.0,Serviced Residence (Intermediate),fully,1,0,False,850.0
333,Desa ParkCity,1250000,2.0,2.0,Condominium (Intermediate),partly,2,1,False,1303.0
334,Desa ParkCity,2500000,5.0,3.0,3-sty Terrace/Link House (EndLot),partly,3,1,False,62.0
335,Desa ParkCity,1100000,3.0,2.0,Condominium (Intermediate),unfurnished,2,1,False,1378.0
336,Desa ParkCity,1980000,4.0,3.0,2-sty Terrace/Link House (Intermediate),partly,3,1,False,75.0
337,Bangsar,1300000,2.0,2.0,Townhouse (Intermediate),partly,3,0,False,55.0
338,Taman Melawati,2800000,6.0,4.0,Bungalow (Corner),partly,4,1,True,5628.0
339,Taman Tun Dr Ismail,1050000,2.0,2.0,1-sty Terrace/Link House (Intermediate),unfurnished,3,0,False,80.0
340,KLCC,3600000,5.0,2.0,Serviced Residence (Corner),partly,3,1,True,3897.0
341,Ampang Hilir,5900000,5.0,3.0,Condominium,unfurnished,4,1,False,4000.0
342,KLCC,3900000,2.0,2.0,Serviced Residence,partly,2,0,False,1636.0
343,KLCC,1300000,1.0,1.0,Serviced Residence (EndLot),partly,1,0,False,925.0
345,Bukit Jalil,438000,2.0,1.0,Apartment (Corner),partly,3,0,True,1018.0
346,Jalan Klang Lama (Old Klang Road),530000,2.0,1.0,Serviced Residence (Corner),partly,3,1,True,900.0
347,Setiawangsa,590000,2.0,2.0,Condominium (Intermediate),partly,3,0,False,1196.0
349,KLCC,1000000,1.0,1.0,Condominium,partly,1,0,False,751.0
350,KLCC,1900000,2.0,1.0,Condominium (Corner),partly,2,1,True,915.0
352,KLCC,2400000,2.0,1.0,Serviced Residence,fully,2,0,False,1006.0
353,Setapak,380000,2.0,2.0,Condominium,unfurnished,3,1,False,950.0
354,KLCC,1198000,1.0,1.0,Serviced Residence (Corner),fully,1,1,True,764.0
355,KLCC,1000000,1.0,1.0,Condominium (EndLot),partly,1,0,False,657.0
356,Bangsar,12000000,6.0,4.0,Bungalow,partly,6,1,False,11500.0
357,Taman Tun Dr Ismail,1280000,3.0,2.0,2-sty Terrace/Link House (Intermediate),partly,4,0,False,75.0
358,KLCC,1780000,1.0,1.0,Serviced Residence,fully,1,0,False,728.0
360,KLCC,2300000,1.0,1.0,Serviced Residence,partly,1,0,False,1023.0
361,Sungai Besi,1340000,6.0,4.0,3-sty Terrace/Link House (Intermediate),partly,4,1,False,80.0
362,Sungai Besi,1600000,6.0,4.0,3-sty Terrace/Link House (EndLot),partly,4,1,False,80.0
363,KLCC,1000000,1.0,1.0,Condominium,partly,1,0,False,751.0
364,KLCC,800000,3.0,1.0,Serviced Residence (Corner),fully,2,1,True,1055.0
367,KLCC,3600000,5.0,2.0,Serviced Residence (Corner),partly,3,1,True,3897.0
368,Bukit Bintang,6000000,5.0,2.0,Serviced Residence (Corner),partly,4,1,True,4157.0
369,Taman Tun Dr Ismail,1090000,2.0,2.0,1-sty Terrace/Link House (Intermediate),partly,3,0,False,80.0
370,KLCC,1250000,4.0,2.0,Serviced Residence (EndLot),fully,3,1,False,1378.0
371,KLCC,2300000,2.0,1.0,Serviced Residence,partly,1,0,False,1023.0
372,Taman Tun Dr Ismail,1330000,3.0,2.0,2-sty Terrace/Link House (Intermediate),partly,3,1,False,75.0
373,Bukit Jalil,900000,3.0,3.0,Condominium (Corner),partly,4,1,True,1513.0
374,Mont Kiara,1850000,4.0,2.0,Condominium (Intermediate),partly,4,1,False,1830.0
375,KLCC,2400000,2.0,1.0,Serviced Residence,partly,2,0,False,1006.0
376,Wangsa Maju,1613300,5.0,3.0,Condominium,partly,3,1,False,2336.0
377,KLCC,2440000,2.0,1.0,Serviced Residence (Corner),fully,1,0,True,1023.0
378,Damansara Heights,5000000,3.0,4.0,Bungalow (Corner),partly,3,1,True,7700.0
379,Sri Hartamas,7300000,6.0,6.0,Bungalow (Corner),partly,6,0,True,7300.0
381,KLCC,3200000,2.0,1.0,Serviced Residence,unfurnished,2,0,False,1572.0
382,Mont Kiara,1850000,4.0,2.0,Condominium (Intermediate),partly,4,1,False,1830.0
383,KL Sentral,783990,1.0,1.0,Serviced Residence,partly,1,0,False,650.0
385,Chan Sow Lin,569200,2.0,2.0,Serviced Residence,unfurnished,1,1,False,888.0
387,Taman Tun Dr Ismail,1150000,2.0,1.0,Condominium (Corner),partly,3,0,True,1560.0
388,Bukit Jalil,425000,2.0,1.0,Condominium (Intermediate),partly,4,0,False,1087.0
389,Bangsar,10000000,7.0,5.0,Condominium (Corner),partly,5,1,True,6913.0
390,Mont Kiara,1800000,4.0,2.0,Condominium (Corner),partly,3,1,True,2243.0
392,Cheras,439600,2.0,2.0,Condominium,partly,3,0,False,1000.0
394,Jalan Kuching,580000,2.0,1.0,Condominium (Corner),partly,3,0,True,1590.0
395,Mont Kiara,618000,1.0,1.0,Serviced Residence (Intermediate),fully,1,0,False,650.0
396,Mont Kiara,1518000,3.0,3.0,Condominium (Corner),partly,3,1,True,2648.0
397,Mont Kiara,2220000,4.0,3.0,Condominium,partly,4,1,False,2973.0
398,KLCC,3600000,4.0,2.0,Serviced Residence (Corner),fully,4,0,True,3897.0
399,Taman Tun Dr Ismail,1150000,2.0,2.0,1-sty Terrace/Link House (Intermediate),partly,3,0,False,80.0
400,Desa ParkCity,2800000,4.0,3.0,2-sty Terrace/Link House (EndLot),partly,4,1,False,75.0
401,Taman Tun Dr Ismail,3100000,4.0,3.0,Semi-detached House,partly,4,1,False,3600.0
402,Taman Tun Dr Ismail,1380000,3.0,2.0,2-sty Terrace/Link House,partly,4,0,False,75.0
403,Taman Tun Dr Ismail,1450000,2.0,2.0,1-sty Terrace/Link House (Intermediate),fully,3,0,False,1920.0
404,Bangsar,4900000,4.0,4.0,Bungalow (Intermediate),partly,7,0,False,11676.0
405,Taman Tun Dr Ismail,1680000,3.0,4.0,2-sty Terrace/Link House,partly,4,0,False,75.0
406,Damansara Heights,1550000,3.0,2.0,2-sty Terrace/Link House (Intermediate),unfurnished,4,0,False,80.0
407,Mont Kiara,1950000,4.0,3.0,Condominium,fully,3,1,False,2535.0
409,KLCC,3600000,4.0,2.0,Serviced Residence (Corner),partly,3,1,True,3897.0
410,Sungai Besi,600000,2.0,2.0,Serviced Residence (Intermediate),partly,2,1,False,1025.0
